resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1983/84,23.0,40.0,135.0,169.0,120.0,120.0,34.0,0,641,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1998/99,0.0,117.0,203.0,189.0,177.0,162.0,54.0,0.0,902,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1999/00,2.0,47.0,187.0,164.0,115.0,198.0,101.0,0.0,814,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2000/01,5.0,127.0,213.0,135.0,156.0,126.0,15.0,0.0,777,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2001/02,0.0,54.0,201.0,131.0,127.0,128.0,0.0,0.0,641,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2002/03,4.0,177.0,150.0,142.0,111.0,93.0,9.0,0.0,686,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2003/04,0.0,13.0,150.0,152.0,199.0,142.0,32.0,0.0,688,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2004/05,13.0,70.0,205.0,177.0,110.0,164.0,45.0,0.0,784,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2005/06,0.0,61.0,151.0,152.0,160.0,177.0,47.0,0.0,748,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2006/07,0.0,61.0,156.0,161.0,112.0,131.0,18.0,0.0,639,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2007/08,0.0,68.0,154.0,164.0,158.0,54.0,1.0,0.0,599,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2008/09,0.0,84.0,171.0,126.0,189.0,111.0,5.0,0.0,686,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2009/10,0.0,74.0,138.0,181.0,78.0,148.0,48.0,0.0,667,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2010/11,0.0,34.0,99.0,143.0,102.0,93.0,35.0,0.0,506,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2011/12,0.0,91.0,189.0,108.0,120.0,100.0,56.0,0.0,664,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2012/13,0.0,101.0,188.0,112.0,110.0,187.0,42.0,0.0,740,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2013/14,7.0,47.0,188.0,161.0,111.0,88.0,70.0,0.0,672,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2014/15,7.0,43.0,141.0,115.0,90.0,115.0,0.0,0.0,511,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2015/16,5.0,99.0,187.0,169.0,163.0,61.0,10.0,0.0,694,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2016/17,14.0,185.0,190.0,80.0,113.0,80.0,13.0,0.0,675,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2017/18,14.0,96.0,237.0,182.0,125.0,90.0,7.0,0.0,751,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2018/19,0.0,47.0,173.0,203.0,149.0,126.0,22.0,0.0,720,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2019/20,0.0,122.0,194.0,152.0,146.0,89.0,5.0,0.0,708,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2020/21,0.0,17.0,232.0,125.0,167.0,100.0,4.0,1.0,646,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2021/22,0.0,38.0,133.0,123.0,111.0,103.0,14.0,0.0,522,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2022/23,0.0,3.0,232.0,159.0,163.0,63.0,0.0,0.0,620,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2023/24,0.0,66.0,160.0,130.0,98.0,101.0,14.0,0.0,569,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2024/25,0.0,37.0,146.0,100.0,86.0,74.0,9.0,0.0,452,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,2025/26,13.0,119.0,158.0,118.0,98.0,87.0,1.0,2.0,596,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
